product_id,product_name,price,vendor,product_type,tags,availability,number_of_variants,image_url,product_url
1072048810,Sandals Biti's GLOWY Collection Nữ Màu Đen BPW008188DEN,640000,Biti's,Sandal Thông Dụng,"kho:online,GLOWY,NỮ,Sandalnu,Giày dép nữ",Available,6,https://cdn.hstatic.net/products/1000230642/bpw008188den__7__1acdeff032494a409abbd09eae5dcf43.jpg,https://bitis.com.vn/products/sandals-biti-s-nu-mau-den-bpw008188den
1072048744,Áo Thun Helio by Biti's Màu Trắng BOU002100TRG,295000,Helio,Khác,"Helio,Aothun,Phukienteen,kho:online,Quần áo,NAM,NỮ,Phụ kiện nam,Phụ kiện nữ,Phụ kiện",Available,3,https://cdn.hstatic.net/products/1000230642/bou002100trg__2__1cbe538ae3e242b0b6c288903363a1df.jpg,https://bitis.com.vn/products/ao-thun-helio-by-biti-s-mau-trang-bou002100trg
1072048665,Sandals Cao Gót Biti's Nữ Màu Xám BFW006988XAM,495000,Biti's,Sandal Thời Trang,"kho:online,NỮ,khongdoitra,Sandalnu,Giày dép nữ",Available,5,https://cdn.hstatic.net/products/1000230642/bfw006988xam__4__6ae8f8ab62654c749364304b31b105c8.jpg,https://bitis.com.vn/products/sandals-cao-got-biti-s-nu-mau-xam-bfw006988xam
1072048658,Sandals Cao Gót Biti's Nữ Màu Kem BFW006988KEM,495000,Biti's,Sandal Thời Trang,"kho:online,NỮ,khongdoitra,Sandalnu,Giày dép nữ",Available,5,https://cdn.hstatic.net/products/1000230642/bfw006988kem__4__058756ea36e448e3859ebab4a0841f70.jpg,https://bitis.com.vn/products/sandals-cao-got-biti-s-nu-mau-kem-bfw006988kem
1072048584,Sandals Cao Gót Biti's Nữ Màu Đen BFW006988DEN,495000,Biti's,Sandal Thời Trang,"kho:online,NỮ,khongdoitra,Sandalnu,Giày dép nữ",Available,5,https://cdn.hstatic.net/products/1000230642/bfw006988den__4__cd891eb1281d410bacd1f166cc579467.jpg,https://bitis.com.vn/products/sandals-cao-got-biti-s-nu-mau-den-bfw006988den
1072048350,Sandals Biti's Bé Gái Màu Nâu BEG005100NAU,335000,Biti's,Sandal Thông Dụng,"kho:online,TRẺ EM,Giày dép,Sandal,BÉ GÁI,Sandal trẻ em,Giày dép trẻ em",Available,4,https://cdn.hstatic.net/products/1000230642/beg005100nau__3__96391c0ee94b4572a984e9fb3ad1e962.jpg,https://bitis.com.vn/products/sandals-biti-s-be-gai-mau-nau-beg005100nau
1072047515,Sandal Biti's Bé Trai Màu Xanh Nhớt BEB006800XNH,345000,Biti's,Sandal Thông Dụng,"kho:online,TRẺ EM,BÉ TRAI,Giày dép,Sandal,Sandal trẻ em,Giày dép trẻ em",Unavailable,9,https://cdn.hstatic.net/products/1000230642/beb006800xnh__3__af30d7aa1ba244e6b5ca42a053e5ce0e.jpg,https://bitis.com.vn/products/sandal-biti-s-be-trai-mau-xanh-nhot-beb006800xnh
1072046793,Sandal Biti's Bé Trai Màu Xám BEB006800XAM,345000,Biti's,Sandal Thông Dụng,"kho:online,BÉ TRAI,TRẺ EM,Giày dép,Sandal,Sandal trẻ em,Giày dép trẻ em",Available,9,https://cdn.hstatic.net/products/1000230642/beb006800xam__5__bd0ce2834afd47a2aa9f27e72538037f.jpg,https://bitis.com.vn/products/sandal-biti-s-be-trai-mau-xam-beb006800xam
1072046655,Sandal Biti's Bé Trai Màu Đen BEB006800DEN,345000,Biti's,Sandal Thông Dụng,"kho:online,BÉ TRAI,TRẺ EM,Giày dép,Sandal,Sandal trẻ em,Giày dép trẻ em",Available,9,https://cdn.hstatic.net/products/1000230642/beb006800den__1__e248328195d249489d3b7cf26ef1dfd5.jpg,https://bitis.com.vn/products/sandal-biti-s-be-trai-mau-den-beb006800den
1072045036,Vớ Biti's Sợi Da Bò Nữ Màu Xám ASWG00230XAM,168000,Biti's,Vớ,"Vo,kho:online,NỮ,Phụ kiện nữ,Phụ kiện",Available,1,https://cdn.hstatic.net/products/1000230642/aswg00230xam__1__00b3f100986247a9a2c4cd2b3bb06c38.jpg,https://bitis.com.vn/products/vo-biti-s-soi-da-bo-nu-mau-xam-aswg00230xam
